date,R_t
2020-08-01,1.4990579
2020-08-02,1.4241666
2020-08-03,1.353029
2020-08-04,1.28546
2020-08-05,1.2212715
2020-08-06,1.1603216
2020-08-07,1.1024415
2020-08-08,1.0513053
2020-08-09,1.0083178
2020-08-10,0.97081
2020-08-11,0.9329457
2020-08-12,0.89606637
2020-08-13,0.8610316
2020-08-14,0.830969
2020-08-15,0.8122074
2020-08-16,0.8101369
2020-08-17,0.8281645
2020-08-18,0.86518633
2020-08-19,0.9196052
2020-08-20,0.99364144
2020-08-21,1.0753589
2020-08-22,1.1504116
2020-08-23,1.2045292
2020-08-24,1.2317364
2020-08-25,1.236081
2020-08-26,1.227465
2020-08-27,1.2089132
2020-08-28,1.1867142
2020-08-29,1.1615584
2020-08-30,1.1323751
2020-08-31,1.1026837
2020-09-01,1.0781254
2020-09-02,1.0639122
2020-09-03,1.0637752
2020-09-04,1.0825684
2020-09-05,1.120764
2020-09-06,1.1792947
2020-09-07,1.2552607
2020-09-08,1.3418274
2020-09-09,1.4335843
2020-09-10,1.5239418
2020-09-11,1.6056451
2020-09-12,1.6710215
2020-09-13,1.710287
2020-09-14,1.7211144
2020-09-15,1.7180771
2020-09-16,1.7171711
2020-09-17,1.7290494
2020-09-18,1.7447023
2020-09-19,1.7497147
2020-09-20,1.73621
2020-09-21,1.7150075
2020-09-22,1.7017559
2020-09-23,1.7061553
2020-09-24,1.7279522
2020-09-25,1.7578732
2020-09-26,1.7752533
2020-09-27,1.761864
2020-09-28,1.7183635
2020-09-29,1.6503776
2020-09-30,1.5743939
2020-10-01,1.4975241
2020-10-02,1.4316607
2020-10-03,1.3815484
2020-10-04,1.3528515
2020-10-05,1.3484315
2020-10-06,1.3648305
2020-10-07,1.3980774
2020-10-08,1.4313347
2020-10-09,1.4583125
2020-10-10,1.4656868
2020-10-11,1.4567143
2020-10-12,1.4196322
2020-10-13,1.3624543
2020-10-14,1.2920681
2020-10-15,1.2311437
2020-10-16,1.1929866
2020-10-17,1.1746669
2020-10-18,1.1643792
2020-10-19,1.154299
2020-10-20,1.1464678
2020-10-21,1.1421996
2020-10-22,1.1414292
2020-10-23,1.1420504
2020-10-24,1.1454737
2020-10-25,1.1541142
2020-10-26,1.1692443
2020-10-27,1.1886371
2020-10-28,1.2053734
2020-10-29,1.2117337
2020-10-30,1.2034527
2020-10-31,1.1824844
2020-11-01,1.157928
2020-11-02,1.1343329
2020-11-03,1.1152289
2020-11-04,1.0987992
2020-11-05,1.0818794
2020-11-06,1.0606462
2020-11-07,1.0352842
2020-11-08,1.0102652
2020-11-09,0.9900349
2020-11-10,0.9766007
2020-11-11,0.9690881
2020-11-12,0.9635084
2020-11-13,0.9550538
2020-11-14,0.94302416
2020-11-15,0.9304767
2020-11-16,0.9213299
2020-11-17,0.9180108
2020-11-18,0.922816
2020-11-19,0.93438065
2020-11-20,0.9504021
2020-11-21,0.9675219
2020-11-22,0.9881079
2020-11-23,1.015744
2020-11-24,1.0510323
2020-11-25,1.0946747
2020-11-26,1.1426336
2020-11-27,1.191469
2020-11-28,1.237241
2020-11-29,1.2892551
2020-11-30,1.3517506
2020-12-01,1.423307
2020-12-02,1.4964736
2020-12-03,1.5585634
2020-12-04,1.5958902
2020-12-05,1.6035779
2020-12-06,1.5909396
2020-12-07,1.5747066
2020-12-08,1.5674782
2020-12-09,1.5745846
2020-12-10,1.587696
2020-12-11,1.599775
2020-12-12,1.6052575
2020-12-13,1.5975065
2020-12-14,1.569718
2020-12-15,1.5128784
2020-12-16,1.4336296
2020-12-17,1.339813
2020-12-18,1.2346017
2020-12-19,1.1256994
2020-12-20,1.0273209
2020-12-21,0.94871056
2020-12-22,0.89841807
2020-12-23,0.87385535
2020-12-24,0.8691474
2020-12-25,0.8718749
2020-12-26,0.8746789
2020-12-27,0.8700877
2020-12-28,0.85682815
2020-12-29,0.84061086
2020-12-30,0.82612085
2020-12-31,0.81423384
2021-01-01,0.80710506
2021-01-02,0.80614907
2021-01-03,0.8130339
2021-01-04,0.82652617
2021-01-05,0.83961076
2021-01-06,0.8442807
2021-01-07,0.8380781
2021-01-08,0.82675534
2021-01-09,0.8139291
2021-01-10,0.802396
2021-01-11,0.79538375
2021-01-12,0.7930173
2021-01-13,0.79626775
2021-01-14,0.8038317
2021-01-15,0.81043226
2021-01-16,0.8115681
2021-01-17,0.8027966
2021-01-18,0.7817921
2021-01-19,0.7507972
2021-01-20,0.71510494
2021-01-21,0.6779162
2021-01-22,0.6431193
2021-01-23,0.613254
2021-01-24,0.5896752
2021-01-25,0.57284945
2021-01-26,0.56174994
2021-01-27,0.55469364
2021-01-28,0.5508579
2021-01-29,0.54922503
2021-01-30,0.5488114
2021-01-31,0.54881835
