"Region";"Aldersgruppe";"Bekræftede tilfælde";"Indlagte på intensiv afdeling";"Indlagte";"Dato"
;00-02;9;0;2;31/01/2022
Hovedstaden;00-02;2084;7;64;31/01/2022
Midtjylland;00-02;1283;4;24;31/01/2022
Nordjylland;00-02;576;0;14;31/01/2022
Sjælland;00-02;770;2;25;31/01/2022
Syddanmark;00-02;1450;2;13;31/01/2022
;03-05;19;0;0;31/01/2022
Hovedstaden;03-05;4606;1;25;31/01/2022
Midtjylland;03-05;3447;0;6;31/01/2022
Nordjylland;03-05;1331;0;1;31/01/2022
Sjælland;03-05;1995;0;11;31/01/2022
Syddanmark;03-05;3263;0;9;31/01/2022
;06-11;68;0;0;31/01/2022
Hovedstaden;06-11;10101;0;15;31/01/2022
Midtjylland;06-11;9208;2;3;31/01/2022
Nordjylland;06-11;4157;0;0;31/01/2022
Sjælland;06-11;5141;0;7;31/01/2022
Syddanmark;06-11;9013;3;18;31/01/2022
;12-15;22;0;0;31/01/2022
Hovedstaden;12-15;8655;1;11;31/01/2022
Midtjylland;12-15;7501;0;5;31/01/2022
Nordjylland;12-15;3448;0;4;31/01/2022
Sjælland;12-15;4654;0;8;31/01/2022
Syddanmark;12-15;7524;0;5;31/01/2022
;16-19;27;0;0;31/01/2022
Hovedstaden;16-19;5245;4;11;31/01/2022
Midtjylland;16-19;4983;2;4;31/01/2022
Nordjylland;16-19;2292;1;3;31/01/2022
Sjælland;16-19;3174;2;8;31/01/2022
Syddanmark;16-19;4853;2;6;31/01/2022
;20-39;464;1;4;31/01/2022
Hovedstaden;20-39;24581;32;137;31/01/2022
Midtjylland;20-39;18299;11;46;31/01/2022
Nordjylland;20-39;7541;4;11;31/01/2022
Sjælland;20-39;10099;11;57;31/01/2022
Syddanmark;20-39;16760;15;53;31/01/2022
;40-64;428;2;4;31/01/2022
Hovedstaden;40-64;26702;39;118;31/01/2022
Midtjylland;40-64;18247;20;66;31/01/2022
Nordjylland;40-64;7783;12;16;31/01/2022
Sjælland;40-64;12596;15;62;31/01/2022
Syddanmark;40-64;17691;19;50;31/01/2022
;65-79;21;0;2;31/01/2022
Hovedstaden;65-79;3784;42;90;31/01/2022
Midtjylland;65-79;2428;16;33;31/01/2022
Nordjylland;65-79;1117;7;15;31/01/2022
Sjælland;65-79;2005;20;40;31/01/2022
Syddanmark;65-79;2526;18;36;31/01/2022
;80+;3;1;2;31/01/2022
Hovedstaden;80+;881;34;84;31/01/2022
Midtjylland;80+;445;15;24;31/01/2022
Nordjylland;80+;230;9;12;31/01/2022
Sjælland;80+;399;19;40;31/01/2022
Syddanmark;80+;499;20;38;31/01/2022
